abbreviation,expanded_form,category
ARO,Assistant Recruiting Officer,APPOINTMENTS (LESS THOSE COVERED IN HIGHER DEF ORG)
ARP,Air Raid Precautions,general
ARP,Ammunition Replenishment Point,general
ARP,Aviation Reconnaissance Patrol,general
arr,Arrival,general
arr,Arrive,general
arr,Arrived,general
arr,Arriving,general
arty,Artillery,general
Arty,Corps of Artillery,general
arty R,Artillery Reconnaissance,general
ARV,Armoured Recovery Vehicle,general
ASC,Army Service Corps,general
ASEC,Army Standing Establishment Committee,general
ASFC,Army Strategic Forces Command,general
asg,Assign,general
asg,Assigned,general
asg,Assigning,general
asg,Assignment,general
aslt,Assault,general
aslt,Assaulted,general
aslt,Assaulting,general
ASM,Air to Surface Missile,general
ASM,Army School of Music,general
ASM,Army Subedar Major,general
ASOC,Air Support Operations Centre,general
ASP,As Soon as Possible,general
ASPT,Army School of Physical Training,general
asst,Assist,general
asst,Assistance,general
asst,Assistant,general
asst,Assisted,general
Asst Naval Secy (ME),Assistant Naval Secretary (Marine Engineers),STAFF AND APPTS
Asst Naval Secy (WE),Assistant Naval Secretary (Weapon Engineers),STAFF AND APPTS
ASSU,Air Support Signals Unit,general
assy,Assembly,general
assy A,Assembly Area,general
AT,Animal Transport,general
ATC,Air Traffic Control,general
ATGM,Anti-Tank Guided Missile,general
ATI,Annual Technical Inspection,general
ATI,Army Training Instructions,general
ATK,Anti-Tank,ammunition
ATK No 3,3,TABLE VIII — MINES
ATLO,Air Transport Liaison Officer,APPOINTMENTS (LESS THOSE COVERED IN HIGHER DEF ORG)
ATM,Anti-Tank Mine,general
ATN,Army Training Note,general
ATO,Ammunition Technical Officer,APPOINTMENTS (LESS THOSE COVERED IN HIGHER DEF ORG)
ATT,Anti-Terrorist(s) Training,general
att,Attach,general
att,Attached,general
att,Attachment,general
attk,Attack,general
attk,Attacked,general
attk,Attacker,general
attk,Attacking,general
attn,Attention,general
audt,Audit,general
audt,Audited,general
audt,Audition,general
AUG,Augmenting,ammunition
AUM,Air to Underwater Missile,general
auth,Authorisation,general
auth,Authorise,general
auth,Authorised,general
auth,Authority,general
auto,Automatic,general
AUTO,Automatic,ammunition
auto,Automatically,general
aux,Auxiliary,general
aval,"Available, availability",general
avg,Average,general
AVLB,Armoured Vehicle Launched Bridge,general
AVM,Air Vice Marshal,RANKS
avn,Aviation,general
AWACS,Airborne Warning and Control System,general
awc,Air War Course,MILITARY QUALIFICATIONS
AWO,Assault Across a Water Obstacle,general
AWOL,Absent Without Leave,general
az,Azimuth,general
B fd,Battlefield,general
B gp,Battle Group,general
B in B,Break in Battle,general
B out B,Break out Battle,general
B Wksp,Base Workshop,general
b/w,Between,general
B3FS2,Bulk Bowzer Based Fuel Supply System,general
BAA,Brigade Administrative Area,general
BAD,Base Ammunition Depot,general
bal,Balance,general
BAL,"Balanced, balancing",ammunition
BALL,Ball,ammunition
BALL/TRA/AP BLT,Piercing 7.92 MM belted,TABLE X – SMALL ARMS LAND SERVICE AMMUNITION
BALL/TRA/AP/INCDY BLT,Piercing/incendiary 7.92 MM belted,TABLE X – SMALL ARMS LAND SERVICE AMMUNITION
Baloch,Baloch Regiment’s Battalion,general
Baloch,e.g. 5 Baloch,general
BANG TORP 10 FT,ft long,TABLE VI – DEMOLITION EXPLOSIVES AND
BANG TORP 6 FT,ft long,TABLE VI – DEMOLITION EXPLOSIVES AND
Bar,Baratol,ammunition
BAS FUZ,Base Fuze,ammunition
BB,Bailey Bridge,general
BBP,Bulk Breaking Point,general
BC,Battery Commander,APPOINTMENTS (LESS THOSE COVERED IN HIGHER DEF ORG)
bchy,Butchery,general
BCW,Biological and Chemical Warfare,general
BD,Base Detonating,ammunition
BD,Battle Dress,general
BD,Bomb Disposal,general
BDA,Border Defence Area,general
bde,Brigade,general
BDR,Bandolier,ammunition
bdry,Boundary,general
bdsm,Bandsman,general
bdsm,bandsmen,general
BE,Base ejection,ammunition
BE 5 Point 5 SMK,Smoke,TABLE II – FIELD ARTILLERY AMMUNITION
be used.,2nd and letters of the country name in capital may,MILITARY QUALIFICATIONS
BECE,Biennial Evaluation of Combat Effectiveness,general
BELG,Belgium,ammunition
BER,Beyond Economical Repair,general
BESA,(all marks) BESA,TABLE X – SMALL ARMS LAND SERVICE AMMUNITION
BESA,marks) BESA,TABLE X – SMALL ARMS LAND SERVICE AMMUNITION
bg,Bearing,general
BHM,"Battalion Havildar Major, Battery Havildar Major",APPOINTMENTS (LESS THOSE COVERED IN HIGHER DEF ORG)
BHOL,Battle Hand Over Line,general
BHQ,Battalion Headquarters,general
BICRACK,Bicat Crackers,TABLE V – PYROTECHNICS
BICRACK STRIP,Bicat Crackers Strip,TABLE V – PYROTECHNICS
bino,Binocular,general
bio,Biographical,general
bio,Biography,general
biv,Bivouac,general
bk,Barrack,general
bkgr,Background,general
bkld,Backload,general
bkld,Backloaded,general
bkld,Backloading,general
BL,Blueland,general
BL,Bomb Line,general
BL (BRDT),Breech loading Brandt,ammunition
BLANK,Blank,ammunition
bldg,Building,general
BLM,Base Line Menu,general
BLOK TNT* LB,Block TNT* lbs,TABLE VI – DEMOLITION EXPLOSIVES AND
BLP,Back loading point,ammunition
BLR,Beyond Local Repair,general
BLST,Ballistic,ammunition
BLT,Belted,ammunition
BLT,belted,TABLE X – SMALL ARMS LAND SERVICE AMMUNITION
