abbreviation,expanded_form,category
G (Trg),Training,general
gal,Gallon,general
GAME,Game,ammunition
gar,Garrison,general
GC,Guncotton,ammunition
GCI,Ground Controlled Interception (station),general
GCM,General Court Martial,general
GD,General Duties,general
gd,Guard,general
gd,Guarded,general
gd,Guarding,general
GE,Garrison Engineer,APPOINTMENTS (LESS THOSE COVERED IN HIGHER DEF ORG)
GELIG,Gelignite,ammunition
GELIG,Gelignite,TABLE VI – DEMOLITION EXPLOSIVES AND
gen,General,general
Gen,General,RANKS
gen,Generally,general
GEN,Generator,ammunition
GEN SMK,Generator smoke,ammunition
GEN SMK No,Generator Smoke N&,TABLE V – PYROTECHNICS
geo,Geographic,general
geo,Geographically,general
geo,Geography,general
GF,Gun Fire,general
GF,Gun Firing,general
GF,Gunflash,ammunition
GFA,Gun Fire Area,general
GHQ,General Headquarters,general
GHQ,General Headquarters,STAFF AND APPTS
GL,General List,general
GL sec,Ground Liaison Section,general
GLHMG,Grenade Launcher Heavy Machine Gun,general
GLO,Ground Liaison Officer,general
GM,Guided Missile,general
GM,Guided Missile,ammunition
GM Regt,Gun Missile Regiment,general
gnr,Gunner,general
Gnr,Gunner,RANKS
gnry,Gunnery,ammunition
GOC,General Officer Commanding,APPOINTMENTS (LESS THOSE COVERED IN HIGHER DEF ORG)
GOC Army Avn,General Officer Commanding Army,STAFF AND APPTS
GOC SSG,General Officer Commanding Special Service Group,STAFF AND APPTS
GOT,Ground Observer Team,general
govt,Government,general
gp,Group,general
gp,Grouped,general
gp,Grouping,general
Gp Capt,Group Captain,RANKS
GPO,Gun Position Officer,APPOINTMENTS (LESS THOSE COVERED IN HIGHER DEF ORG)
GPR,Ground Penetrating Radar,ammunition
GPS,Global Positioning System,general
GR,Grid Reference,general
gr,Ground,general
GR,Ground recognition,ammunition
GRAZ,Graze,ammunition
grd,Grade,general
grd,Graded,general
grd,Grading,general
GREEN,Green,ammunition
GREEN (BELG),MM/2-in Mortars Single Star Green (Belgium),TABLE IV – MORTAR AMMUNITION
gren,Grenade,general
GREN,Grenade,ammunition
GREN 40 MM HEAT,Grenades 40 MM HEAT PG-7V,TABLE VII — GRENADES
GREN 40 MM HEAT (CHE),Grenade 40 MM HEAT (Chinese),TABLE VII — GRENADES
GREN 40MM INERT,Grenades 40 MM Practice Inert for,TABLE VII — GRENADES
GREN HAND FRAG,No* M,TABLE VII — GRENADES
GREN HAND LACH,No* Lachrymatory,TABLE VII — GRENADES
GREN HAND SMKt,Green Red Yellow,TABLE VII — GRENADES
GREN HAND* M,Grenades Hand,TABLE VII — GRENADES
GREN RIF ATK 75 MM,HEAT 75 MM Super Energa with,TABLE VII — GRENADES
GREN RIF ATK 94 ENERGA WITH* CART,ATK NO 94 Energa with Carts,TABLE VII — GRENADES
GREN RIF PRAC 75,Practice 75 MM Super Energa with,TABLE VII — GRENADES
GREN RIF PRAC 94 ENERGA WITH* CART,Practice No 94 Energa with Carts,TABLE VII — GRENADES
GREN RIF SMKt M*,Coloured Smoke Red Yellow M* Green,TABLE VII — GRENADES
GRN,Grain,ammunition
GS,General Staff,general
GS Branch,General Staff Branch,STAFF AND APPTS
GS pay,Good Service pay,general
gsc,Gunnery Staff Course (Field),MILITARY QUALIFICATIONS
gsc (B),"Gunnery/Advance Staff Course, Bangladesh",MILITARY QUALIFICATIONS
gsc (Ch),"Gunnery/Advance Staff Course, China",MILITARY QUALIFICATIONS
gsc (Jo),"Gunnery/Advance Staff Course, Jordon",MILITARY QUALIFICATIONS
gsc (UK),"Gunnery/Advance Staff Course, UK",MILITARY QUALIFICATIONS
gsc (US) special to arms,"Gunnery/Advance Staff Course, USA",MILITARY QUALIFICATIONS
GSO 1,General Staff Officer Grade 1,APPOINTMENTS (LESS THOSE COVERED IN HIGHER DEF ORG)
GSO 2,General Staff Officer Grade 2,APPOINTMENTS (LESS THOSE COVERED IN HIGHER DEF ORG)
GSO 3,General Staff Officer Grade 3,APPOINTMENTS (LESS THOSE COVERED IN HIGHER DEF ORG)
GSP,General Staff Publication,general
GSR,General Staff Requirement,general
gt,Grant,general
gt,Granted,general
gt,Granting,general
GT coy,General Transport Company,general
GUN,Gun,ammunition
GW,Guerrilla Warfare,general
GZ,Ground Zero,general
GZ,Ground Zero,ammunition
H,Hypothesis,general
HA,Harbour Area,general
HALF,Half Charge,ammunition
har,Harbour,general
HAT bn,Heavy Anti-Tank battalion,general
HB,Hostile Battery,general
HC,Head Clerk,general
HC,High Capacity,ammunition
HC MINE CONTACTATK5 H,Mines Contact Anti-Tank MK5,TABLE VIII — MINES
hdg,Heading,general
HE,High Explosive,general
HE,High Explosive,ammunition
HE 75 MM APC HE,APC,TABLE II – FIELD ARTILLERY AMMUNITION
HE D30 Extended Range,Cartridges 122 MM How Full Bore Base Bleed,TABLE II – FIELD ARTILLERY AMMUNITION
HEAP,High Explosive Armour piercing,ammunition
HEAT,High Explosive Anti-Tank,ammunition
HEHC,High Explosive High capacity,ammunition
hel,Helicopter,general
heliborne,Helicopter borne,general
helipad,Helicopter pad,general
HEPD,High Explosive Dual Purpose,ammunition
HESAP,Semi Armour Piercing High Explosive Shell,ammunition
HESUPHC,High Explosive Super high capacity,ammunition
HEXAL,Hexogen Aluminum,ammunition
HF,Harassing Fire,general
HF,High Frequency,general
HI (M),Hilal-i-Imtiaz (Military),HONOURS AND AWARDS
HIC,High Intensity Conflict,general
HIMADS,High To Medium Air Defence,general
HISP,Hispano,ammunition
hist,Historical,general
hist,Historically,general
hist,History,general
HIT,Heavy Industries Taxila,STAFF AND APPTS
HJ,Hilal-i-Jurat,HONOURS AND AWARDS
HL,High Level,general
HMG,Heavy Machine-Gun,general
HO,Hide Out,general
HOB,Height of Burst,ammunition
HOL CHG,Hollow Charge,ammunition
hon,Honour,general
hon,Honourary,general
Hon Capt,Honorary Captain,RANKS
Hon Lt,Honorary Lieutenant,RANKS
hosp,Hospital,general
hosp,Hospitalization,general
HOTPHOTO REP,Hot Photographic Interpretation Report,general
how,Howitzer,general
HOW,Howitzer,ammunition
HP,Horse Power,general
HQ,Headquarters,general
hr,Hour,general
hr,Hourly,general
HRDC,Human Resource Development Centre,general
ht,Height,general
HV,High velocity,ammunition
hvg,Hovering,general
HVT,High Value Target,general
HW,Head Works,general
hy,Heavy,general
HYB,Hybrid,ammunition
hyg,Hygiene,general
i 02,detectable 7.5 kg MI-i 02 (Bofors),TABLE VIII — MINES
i.e.,That is,general
IABG,Independent Armoured Brigade Group,general
IAP,Independent Ammunition Platoon,general
IBG,Integrated Battle Group,general
IC,In Charge (of),APPOINTMENTS (LESS THOSE COVERED IN HIGHER DEF ORG)
IC,Incharge,general
IC,Incharge of,general
IC,Internal Combustion,general
ICB,Intelligence and Counter Bombardment,general
ICBL,International Campaign To Ban Land Mine,ammunition
ICG,Integrated Combat Group,general
ICM,Improved Conventional Munitions,ammunition
ICU,Intensive Care Unit,general
ID,Internal Distribution,general
ID Card,Identity Card,general
ident,Identification,general
ident,Identified,general
ident,Identify,general
ident,Identity,general
IE,Individual Exercise,general
IED,Improvised Explosive Device,general
IFF,Identification Friend or Foe,general
IFV,Infantry Fighting Vehicle,general
IG,Inspector General,STAFF AND APPTS
IG,Inspector General,APPOINTMENTS (LESS THOSE COVERED IN HIGHER DEF ORG)
IG Arms,Inspector General Arms,STAFF AND APPTS
IGC&IT,Inspector General Communication & Information Technology,STAFF AND APPTS
IGN,Igniter,ammunition
IGN 84 ELEC,Smoke No 24,TABLE V – PYROTECHNICS
IGN M 20,Igniter M 20 for 3.5 in Rockets,TABLE IX – ROCKETS AND GUIDED MISSILES
IGT&E,Inspector General Training and,STAFF AND APPTS
IGT&E Branch,Inspector General’s Training and Evaluation Branch,STAFF AND APPTS
IIBG,Independent Infantry Brigade Group,general
ill,Illuminate,general
ill,Illuminated,general
ill,Illuminating,general
ILL,Illuminating,ammunition
ill,Illumination,general
IMBG,Independent Mechanized Brigade Group,general
imed,Immediate,general
IMED,Immediate,ammunition
imed,Immediately,general
imp,Importance,general
imp,Important,general
in,Inch,general
IN,Inch,ammunition
inc,Increase,general
inc,Increased,general
INCDY or I,Incendiary,ammunition
incl,Include,general
incl,Included,general
incl,Includes,general
incl,Including,general
incl,Inclusive,general
INCR,Increment,ammunition
indep,Independent,general
indep,Independently,general
indl,Individual,general
indl,Individually,general
INERT,Inert,ammunition
inf,Infantry,general
infil,Infiltrate,general
infil,Infiltrated,general
infil,Infiltrating,general
infil,Infiltration,general
info,Inform,general
info,Information,general
info,Informed,general
insp,Inspect,general
insp,Inspected,general
insp,Inspecting,general
insp,Inspection,general
inst,Instrument,general
instl,Install,general
instl,Installation,general
instl,Installed,general
instl,Installment,general
instr,Instruct,general
instr,Instructed,general
instr,Instruction,general
instr,Instructor,general
insur,Insurgency,general
insur,Insurgent,general
int,Intelligence,general
intd,Interdict,general
intd,Interdicted,general
intd,Interdicting,general
intd,Interdiction,general
INTER,Intermediate,ammunition
intercom,Intercommunication,general
intg,Integral,general
intg,Integrate,general
intg,Integration,general
intl,International,general
intl,Internationally,general
intmed,Intermediate,general
intr,Interrogate,general
intr,Interrogated,general
intr,Interrogation,general
intr,Interrogator,general
intrep,Intelligence Report,general
intro,Introduce,general
intro,Introduced,general
intro,Introducing,general
intro,Introduction,general
intsum,Intelligence Summary,general
IO,Information Operations,general
IO,Intelligence Officer,general
IO,Intelligence Officer,APPOINTMENTS (LESS THOSE COVERED IN HIGHER DEF ORG)
ION,Internal Office Note,general
IP,Immediate Permanent Incapacitation,ammunition
IP,Instructional Practice,general
IP,Instructor Pilot,general
IPB,Intelligence Preparation of Battle Field,general
IPIR,Immediate Photographic Interpretation Report,general
IQ,Intelligence Quotient,general
IR,Infra-Red,general
IRC,Infantry/Individual Reaction Course,general
IRLA,Individual Running Ledger Account,general
IRO,In Respect Of,general
IRP,Individual Research Paper,general
IS,Internal Security,general
isc,Intelligence Staff Course,MILITARY QUALIFICATIONS
ISI,Inter Services Intelligence,general
ISO,4. Inter Services Organisations,STAFF AND APPTS
ISPR,Inter Services Public Relations,general
ISPR Dte,Inter Services Public Relations Directorate,STAFF AND APPTS
ISR,"Intelligence, Surveillance and Reconnaissance",general
ISSB,Inter Services Selection Board,general
ISSB,Inter Services Selection Board,STAFF AND APPTS
ISSU,Inter Services Signal Unit,general
ISTAR,"Intelligence, Surveillance, Target, Acquisition and Reconnaissance",general
IT,Immediate Transient Incapacitation,ammunition
IV,Issue Voucher,general
IW,Information Warfare,general
JAAT,Joint Air Attack Team,general
JAG,Judge Advocate General,STAFF AND APPTS
jamrep,Jamming report,general
JCO,Junior Commissioned Officer,APPOINTMENTS (LESS THOSE COVERED IN HIGHER DEF ORG)
JCSC,Joint Chiefs of Staff Committee,STAFF AND APPTS
JD,Judging Distance,general
JIPEC,Joint Interdiction Planning and Execution Cell,general
JKT,Jacketed,TABLE X – SMALL ARMS LAND SERVICE AMMUNITION
jnr,Junior,general
Jnr Tech,Junior Technician,RANKS
JO,Joint Operations,general
JO Dte,Joint Operations Directorate,general
JOC,Joint Operations Centre,general
JOCOMEX,Joint Communications Exercise,STAFF AND APPTS
JS Def,Joint Secretary Defence,STAFF AND APPTS
JSHQ,5. Joint Staff Headquarters,STAFF AND APPTS
jssc,Joint Service Staff Course,MILITARY QUALIFICATIONS
jssc(A),Joint Service Staff Course in Australia,MILITARY QUALIFICATIONS
jssc(F),Inter Service Staff Course in France,MILITARY QUALIFICATIONS
jt,Joint,general
JTFC,Joint Task Force Commander,general
junc,Junction,general
JW,Joint Warfare,general
JW,Jungle Warfare,general
JW,"Jungle Warfare, Joint Warfare",general
K2,Kerosene,general
KG,Killing Ground,general
kg,Kilogram,general
KIA,Killed In Action,general
km,Kilometre,general
kml,Kilometres per litre,general
kmph,Kilometres per hour,general
KT,Kiloton,general
KT (KOR),Kilo Ton Korean,ammunition
KVA,Kilovolt Amperes,general
KW,Kilowatt,general
KYE,Know Your Enemy,general
KZ,Killing Zone,general
L,e.g. 6 L,general
L,"Lancers, in unit designation only",general
L Nk,Lance Naik,RANKS
L of C,Line of Communications,general
L wng,Local Warning,general
L/Dfr/L/Hav,Lance Daffadar/Lance Havildar,RANKS
LA,Lead Azide,ammunition
lab,Laboratory,general
lab,Labour,general
LAC,Leading Aircraftman,RANKS
LACHY,Lachrymatory,ammunition
LAD,Light Aid Detachment,general
LAN,Local Area Network,general
landmk,Landmark,general
LAT bn,Light Anti Tank battalion,general
lb,Pound (weight),general
LBR,Line of Bomb Release,general
LCB,Light Commando Battalion,general
ldg,Leading,general
ldr,Leader,general
LEAs,Law Enforcing Agencies,general
lec,Lecture,general
LETH,Lethal,ammunition
LG,Landing Ground,general
LIC,Low Intensity Conflict,general
lit,Litre,general
LL,Latent Lethality,ammunition
LLAD,Low Level Air Defence,general
LMG,Light Machine Gun,general
LNK,Links,ammunition
LNK BLT,Linked belt,ammunition
LO,Liaison Officer,general
LOB,Left Out of Battle,general
LOC,Line of Control,general
loc,Locality,general
loc,Locate,general
loc,Located,general
loc,Locating,general
loc,Location,general
loc stat,Location State,general
log,Logistics,general
log R,Logistics Requirement,general
LOMADS,Low to Medium Air Defence System,general
LP,Listening Post,general
LP,Local Purchase,general
LPC,Last Pay Certificate,general
LR,Long Range,ammunition
LRA,Leave Ration Allowance,general
LRC,Last Ration Certificate,general
LS,Landing Strip,general
LS,Leading Seaman,RANKS
LS,Logistic Support,general
LS Branch,Logistics Staff Branch,STAFF AND APPTS
lsc,Logistics Staff Course,MILITARY QUALIFICATIONS
LSD,Least Separation Distance,ammunition
LSDT,Line Shoot Down To,general
lt,Left,general
Lt,Lieutenant,RANKS
lt,Light,general
LT,Light,ammunition
LT,Line Telegraphy,general
LT,Low Tension,general
Lt AD,Light Air Defence,general
Lt Cdr,Lieutenant Commander,RANKS
Lt Col,Lieutenant Colonel,RANKS
Lt Gen,Lieutenant General,RANKS
ltd,Limit,general
ltd,Limitation,general
ltd,Limited,general
ltr,Letter,general
lvl,Level,general
LWR,Line of Weapon Release,general
Ly O,Lady Officer,general
LZ,Landing Zone,general
M,Metre,general
M fd,Minefield,general
M* BLOCK DML M*,Block Demolition,TABLE VI – DEMOLITION EXPLOSIVES AND
M* GREN RIF ILL M*,Illuminating,TABLE VII — GRENADES
M* GRENRIFWPM’,Smoke WP,TABLE VII — GRENADES
M* M*,Fragmentation,TABLE VII — GRENADES
M* MINE A PERS M*,Mines Anti-personnel,TABLE VIII — MINES
M12,MM M-12,TABLE IX – ROCKETS AND GUIDED MISSILES
M28A2,Tank M28A2,TABLE IX – ROCKETS AND GUIDED MISSILES
M29,(A1/A2),TABLE IX – ROCKETS AND GUIDED MISSILES
MA,Maintenance Area,general
ma,Mili Amperes,general
MA,"Military Assistant, Military Attache",APPOINTMENTS (LESS THOSE COVERED IN HIGHER DEF ORG)
MA,Mountain Artillery,general
MAC,Motor Ambulance Company (ASC),general
MACI (U),Member of American Concrete Institute,MILITARY QUALIFICATIONS
MAD,Medium Air Defence,general
MADCE (U),Member of the American Society of Civil Engineering,MILITARY QUALIFICATIONS
mag,Magazine,general
mag,Magnetic,general
MAG,Military Accountant General,STAFF AND APPTS
MAG,Military Accountant General,APPOINTMENTS (LESS THOSE COVERED IN HIGHER DEF ORG)
maint,Maintain,general
maint,Maintained,general
maint,Maintenance,general
maj,Major,general
Maj,Major,RANKS
Maj Gen,Major General,RANKS
MARS,Mobile Ammunition Repair Section,general
MAT,Medium Anti-Tank,general
math,Mathematical,general
math,Mathematics,general
max,Maximum,general
MBRL,Multi Barrel Rocket Launcher,general
MC,Motor Cycle,general
MCE,Military College of Engineering,general
MCIT (U),Member of the Chartered Institute of Transport London,MILITARY QUALIFICATIONS
MCO,Movement Control Officer,APPOINTMENTS (LESS THOSE COVERED IN HIGHER DEF ORG)
MCPO,Master Chief Petty Officer,RANKS
MCS,Military College of Signals,general
md,Married,general
MD,Model Discussion,general
MDB,Main Defensive Battle,general
MDS,Main Dressing Station,general
MDU,Mobile Dental Unit,general
ME,Maintenance Engineer,APPOINTMENTS (LESS THOSE COVERED IN HIGHER DEF ORG)
mech,Mechanic,general
mech,Mechanical,general
mech,Mechanized,general
med,Medical,general
med,medical,general
med,Medium,general
memo,Memorandum,general
MES,Military Engineering Service,general
met,Meteorological,general
met,Meteorology,general
MFC,Mobile Fire Controller,APPOINTMENTS (LESS THOSE COVERED IN HIGHER DEF ORG)
MFO,Military Forwarding Organisation,general
mfr,Manufacture,general
mfr,Manufactured,general
mfr,Manufacturer,general
mfr,Manufacturing,general
MG,Machine gun,ammunition
MG,Machine-gun,general
mg,Milligram,general
MGB,Medium Girder Bridge,general
mgmt,Management,general
MH,Military Hospital,general
MI,Military Intelligence,general
MI Room,Medical Inspection Room,general
MIA,Missing in Action,general
MIB,Mechanized Infantry Battalion,general
MIC,Medium Intensity Conflict,general
Mid,Midshipman,RANKS
MIE (Pak),Member of the Institute of Engineers (Pakistan),MILITARY QUALIFICATIONS
MIEE,Member of the Institute of Electronic Engineers,MILITARY QUALIFICATIONS
MIEEE (U),Members of the Institute of Electric and,MILITARY QUALIFICATIONS
mil,Military,general
min,Minimum,general
min,Minute,general
MINE,Mine,ammunition
MINE A PERS JUMPING P3,Mines Anti-Personnel Jumping P3,TABLE VIII — MINES
MINE ATK,Booster Mine Atk M4 BOOSTER M4,TABLE IX – ROCKETS AND GUIDED MISSILES
MINE ATK MI(P),Mines Anti-Tank MI(P),TABLE VIII — MINES
MINE ATK ND,Mines Anti-Tank Non-detectable,TABLE VIII — MINES
MINE ATK ND MI-i 02,Mines Anti-Tank Non-detectable 7.5 kg MI-i 02 (Bofors),TABLE VIII — MINES
MINE ATK ND P2 MK3,Mines Anti-Tank Non-detectable,TABLE VIII — MINES
MINE ATK ND SH 55,Mines Anti-Tank Non-detectable SH 55 (Italian),TABLE VIII — MINES
MINEATKNDM3,Mines Anti-Tank Non-detectable M3 (Belgium),TABLE VIII — MINES
misc,Miscellaneous,general
MISREP,Mission Report,general
mjd,Mujahid,general
Mjd,Mujahid,RANKS
mk,Mark,general
MK,Mark,ammunition
mk,Marked,general
MK* MINE A PERS P2 MK*,Mines Anti-personnel P2,TABLE VIII — MINES
MK* W/O FUZ,P2 MK Without fuze,TABLE VIII — MINES
MLBC,Mobile Laundry and Bath Company,general
MLC,Military Load Classification,general
MLRS,Multiple Launch Rocket System,general
mm,Millimetre,general
MM,Millimetres,ammunition
MM RKT,MM Rocket Drill,TABLE IX – ROCKETS AND GUIDED MISSILES
MM SUPER ENERGA WITH CART,Carts,TABLE VII — GRENADES
MMG,Medium Machine-gun,general
mnvr,Manoeuvre,general
MO,Medical Officer,APPOINTMENTS (LESS THOSE COVERED IN HIGHER DEF ORG)
mob,Mobile,general
mob,Mobility,general
mob,Mobilization,general
mob,Mobilize,general
MoD,Ministry of Defence,general
MoD,Ministry of Defence,STAFF AND APPTS
MOD,Moderate,ammunition
mor,Mortar,general
MOR,Mortar,ammunition
MOR FIRE,Mortar fire,ammunition
mortrep,Mortar Bombing Report,general
mot,Motor,general
mot,Motorized,general
mov,Move,general
mov,Moved,general
mov,Movement,general
mov O,Movement Order,general
MP,Military Police,general
mpb,Mean Point of Burst,general
mph,Miles per hour,general
mpi,Mean Point of Impact,general
MPIM,Members of the Pakistan Institute of Management,MILITARY QUALIFICATIONS
MPML,Manual of Pakistan Military Law,general
MPO,Mortar Position Officer,APPOINTMENTS (LESS THOSE COVERED IN HIGHER DEF ORG)
MR,Map Reading,general
MRE,Meal Ready to Eat,general
MRT,Mobile Repair Team,general
MS,Military Secretary,STAFF AND APPTS
MS Branch,Military Secretary Branch,STAFF AND APPTS
msct,Miscreant,general
MSD,Minimum Safe Distance,ammunition
msg,Message,general
Mshl of the Air,Marshal of the Air Force,RANKS
MSIR,Monthly Security Intelligence Report,general
msl,Missile,general
msn,Mission,general
MSR,Main Supply Route,general
MST,Mobile Surgical Team,general
MT,Mechanical Transport,general
MT,Megaton,general
mtd,Mounted,general
mtg,Mounting,general
mtn,Mountain,general
mtn,Mountainous,general
MTO,Mechanical Transport Officer,APPOINTMENTS (LESS THOSE COVERED IN HIGHER DEF ORG)
MTSQ,Time Mechanical and super quick,ammunition
MTTS,Moving Target Trolley system,general
MULT,"Multiple, Multi-purpose",ammunition
MV,Muzzle Velocity,general
MVH,Military Veterinary Hospital,general
MVRDE,Military Vehicles Research and Development Establishment,STAFF AND APPTS
MW,Mountain Warfare,general
MWO,Master Warrant Officer,RANKS
N Ris/N Sub,Naib Risaldar/Naib Subedar,RANKS
N St,Nishan-i-Shujaat,HONOURS AND AWARDS
NA,Not Applicable,general
NA,Not Available,general
narr,Narrative,general
nav,Navigate,general
nav,Navigated,general
nav,Navigation,general
nav,Navigational,general
NAVAL,Naval,ammunition
Naval Sectt,Naval Secretariat,STAFF AND APPTS
Naval Secy,Naval Secretary,STAFF AND APPTS
NBC,"Nuclear, Biological and Chemical",general
NBCD,"Nuclear, Biological and Chemical Defence",general
NC,Nitro Cellulose,ammunition
NC,Non-Combatant,APPOINTMENTS (LESS THOSE COVERED IN HIGHER DEF ORG)
NC,Northern Command,general
NC (E),Non-Combatant (Enrolled),APPOINTMENTS (LESS THOSE COVERED IN HIGHER DEF ORG)
NC (U),Non-Combatant (Unenrolled),APPOINTMENTS (LESS THOSE COVERED IN HIGHER DEF ORG)
NCA,National Command Authority,general
"NCA, NCC","National Command Authority, National Command Centre",STAFF AND APPTS
NCB,Non Combatant Bearer,general
NCB,Non-Combatant Bearer Pakistan Navy,RANKS
NCC,National Command Centre,general
NCO,Non-Commissioned Officer,APPOINTMENTS (LESS THOSE COVERED IN HIGHER DEF ORG)
NCW,Net Centric Warfare,general
ND DET FOR MINE ATK,Detonator for Mines Anti-Tank,TABLE VIII — MINES
ND SH 55,SH 55,TABLE VIII — MINES
ndc,National Defence Course,MILITARY QUALIFICATIONS
ndc (Ch),Advance Higher Command Training Course NDU China,MILITARY QUALIFICATIONS
NDMA,National Disaster Management Authority,general
NDU,National Defence University,general
NDU,National Defence University,STAFF AND APPTS
nec,(d),general
nec,Necessary,general
nec,Necessitate,general
nec,Necessity,general
neg,Negative,general
NEG,Negligible,ammunition
neut,Neutralisation,general
neut,Neutralise,general
neut,Neutralised,general
NFA,No Further Action,general
NFC,Note for Consideration,general
NG,National Guard,general
NG,Nitro Glycerin,ammunition
NH,Nishan-i-Haider,HONOURS AND AWARDS
NHQ,Naval Headquarters,general
NHQ,Naval Headquarters,STAFF AND APPTS
NI,Naval Intelligence,STAFF AND APPTS
ni,Night,general
NI (M),Nishan-i-Imtiaz (Military),HONOURS AND AWARDS
NIS,Net Identification Sign,general
Nk/ALD,Naik/Acting Lance Daffadar,RANKS
NLI,Northern Light Infantry,general
NM,Nautical Mile,general
NMB,No Move Before,general
NML,No Man’s Land,general
NMOC,National Military Operation Centre,general
no,Number,general
no,Numbered,general
NOE,Nap of Earth,general
NOK,Next of Kin,general
nomen,Nomenclature,general
NOO,Not on Original,general
NPP,Naval Ports and Project,STAFF AND APPTS
nswc,National Security and War Course,MILITARY QUALIFICATIONS
NTR,Nothing to Report,general
nuc,Nuclear,general
NUML,National University of Modern Languages,general
NUST,National University of Science and Technology,general
NVD,Night Vision Device,general
NVS,National Voluntary Service,general
NW,Nuclear Warfare,general
NWh N,Nadi,general
NWh N,Nala (only used in conjunction with a name),general
NWh N,Nuclear Warhead Nullah,general
O gp,Order Group,general
O&M,Organisation and Methods,general
OA,Out of Action,general
OAD,Ordnance Aviation Depot,general
OAS,Offensive Air Support,general
OAS,Office Automation System,general
obj,Objective,general
objn,Objection,general
OBS,Observing,ammunition
obs,Obstacle,general
obs,Obstacles,general
obsn,Observation,general
obsr,Observer,general
OC,Officer Commanding,APPOINTMENTS (LESS THOSE COVERED IN HIGHER DEF ORG)
OD,Ordinary Seaman Pakistan Air Force,RANKS
OEI,Officer Efficiency Index,general
OER,Officer (s) Evaluation Report,general
offg,Officiating,general
offn,Offence,general
offn,Offensive,general
offr,Officer,general
OHC,Overhead Cover,general
OHP,Overhead Protection,general
OIC,Officer-in-Charge (of),APPOINTMENTS (LESS THOSE COVERED IN HIGHER DEF ORG)
OO,Operation Order,general
OO,Ordnance Officer,APPOINTMENTS (LESS THOSE COVERED IN HIGHER DEF ORG)
OODA,Observe – Orintate – Decide – Act,general
OOM,Order of March,general
OOTW,Operations Other Than War,general
OP,Observation Post,general
op,Operate,general
op,Operated,general
op,Operation,general
op,Operational,general
op,Operator,general
oppn,Opposition,general
Ops Branch,Operations Branch,STAFF AND APPTS
ORANGE,Orange,ammunition
orbat,Order of Battle,general
ord,Ordnance,general
ordep,Ordnance Depot,general
org,Organisation,general
org,Organise,general
org,Organised,general
ORM,Off Route Mine,ammunition
OS,Offensive Support,general
OS,Officer Supervisor,general
OS,Ordanance Services,general
OS,Ordnance Services,general
OS,Outstanding,general
OSD,Officer on Special Duty,APPOINTMENTS (LESS THOSE COVERED IN HIGHER DEF ORG)
OSL,Overstay Leave,general
OT,Observer to Target (imaginary line),general
OTP,One Time Pad,general
OTP,One Time Process,general
oz,Ounce,general
P&A,Pay and Allowances,general
P/L,Privilege Leave,general
P1* FUZ,HEAT P1 MK2 Fuzed*,TABLE II – FIELD ARTILLERY AMMUNITION
PA,Personal Assistant,APPOINTMENTS (LESS THOSE COVERED IN HIGHER DEF ORG)
PAA,Pakistan Army Act,general
PAC,Pakistan Aeronautical Complex,STAFF AND APPTS
PAD,Passive Air Defence,general
PADM,Passive Air Defence Measures,general
PAF,8. Pakistan Air Force,STAFF AND APPTS
PAF,Pakistan Air Force,general
PAID Card,Pakistan Army Identity Card,general
Pak Army,6. Pakistan Army,STAFF AND APPTS
PAO,Pakistan Army Order,general
PAO,Pro Active Operations,general
PARA,Pakistan Army Rifle Association,general
para,Parachute,general
para,Paragraph,general
PARAB,Parabellium,ammunition
PASB,Pakistan Armed Services Board,STAFF AND APPTS
PATCOMS,Pakistan Army Tactical Communication System,general
PATLO,Pakistan Army Technical Liaison Officer,general
PB,Preparatory Bombardment,general
PBG,President’s Bodyguard,general
PC,Personal Computer,general
PC,Post Commander,general
pd,Per day,general
pd,Period,general
PD,Point Detonating,ammunition
PE,Plastic explosive,ammunition
PE,Project Engineer,APPOINTMENTS (LESS THOSE COVERED IN HIGHER DEF ORG)
PE,Project Engineer,MILITARY QUALIFICATIONS
PED,Probable Error in Deflection,ammunition
PEEC,Professional Engineer with Pakistan Engineering Council,MILITARY QUALIFICATIONS
PEH,Probable Error in Height,ammunition
pen,Penetrate,general
pen,Penetrated,general
pen,Penetration,general
PENT,Pentolite,ammunition
PER,Probable Error in Range,ammunition
PERC,Percussion,ammunition
perintrep,Periodical Intelligence Report,general
PERM,Permanent,ammunition
pers,Personnel,general
pet,Petroleum,general
PET,Physical Efficiency Test,general
PGM,Precision Guided Munition,general
Ph,Phase,general
Ph,Phased,general
Ph,Phasing,general
ph R,Photographic Reconnaissance,general
photo,Photograph,general
photo,Photographer,general
photo,Photographic,general
photo,Photography,general
Phy,Physically,general
PIAC,Pakistan International Airlines Corporation,STAFF AND APPTS
PIST,Pistol,ammunition
PIT,Pre-Induction Training,general
PKO,Peacekeeping Operation,general
PL,Phase Line,general
pl,Platoon,general
pl,Please,general
PlC POWD,Pieric Powder,ammunition
PLGD,Plugged,ammunition
PLGD (BRDT),(Brandt) Plugged,TABLE IV – MORTAR AMMUNITION
PLGD (BRDT),Plugged,TABLE IV – MORTAR AMMUNITION
Plt Offr,Pilot Officer,RANKS
PM,Packing Material,general
Pm,Per month,general
PM,Prime Minister,STAFF AND APPTS
PMA,Pakistan Military Academy,general
PMC,President Mess Committee,APPOINTMENTS (LESS THOSE COVERED IN HIGHER DEF ORG)
PN,7. Pakistan Navy,STAFF AND APPTS
PN,Pakistan Navy,general
